id,title,price,release_date,quantity,description,key_search
531,PARFOM - KANTAI COLLECTION -KAN COLLE-: SHIRATSUYU KAI,"1,780,000",2020,5,Kantai Collection Parfom Phat Company Shiratsuyu action-figure,Kantai Collection Parfom Phat Company Shiratsuyu action-figure
532,"FIGURE COMPLEX MOVIE REVO SERIES NO.010 ""ZOOTOPIA"" NICK WILDE","1,750,000",2020,5,Nick Wilde Zootopia Kaiyodo Action Figure action-figure,Nick Wilde Zootopia Kaiyodo Action Figure action-figure
533,FIGMA - METAL GEAR SOLID 2 SONS OF LIBERTY: SOLID SNAKE MGS2 VER.,"6,280,000",2020,5,MGS2 ver. Solid Snake Max Factory 8/2018 Metal Gear Solid 2 Sons of Liberty Action Figure action-figure,MGS2 ver. Solid Snake Max Factory 8/2018 Metal Gear Solid 2 Sons of Liberty Action Figure action-figure
534,VARIABLE ACTION HEROES - ONE PIECE: NAMI (SUMMER VACATION),"2,450,000",2020,5,ONE PIECE Summer Vacation Variable Action Heroes Nami Action Figure MegaHouse 2/2018 action-figure,ONE PIECE Summer Vacation Variable Action Heroes Nami Action Figure MegaHouse 2/2018 action-figure
535,FRAME ARMS GIRL - ARCHITECT OFF WHITE VER.,"1,200,000",2020,5,Off White Ver. Architect Kotobukiya Frame Arms Girl 3/2018 Action Figure action-figure,Off White Ver. Architect Kotobukiya Frame Arms Girl 3/2018 Action Figure action-figure
536,TO LOVERU DARKNESS - KONJIKI NO YAMI - VARIABLE ACTION HEROES DX - 1/8 (MEGAHOUSE),"6,200,000",2020,5,To Love-Ru Darkness 1/8 Action Figure MegaHouse 3/2018 Golden Darkness action-figure,To Love-Ru Darkness 1/8 Action Figure MegaHouse 3/2018 Golden Darkness action-figure
537,BRING ARTS - NIER:AUTOMATA: MACHINE SET (2FIGURE SET) ACTION FIGURE,"1,600,000",2020,5,BRING ARTS 4/2018 Square Enix NieR:Automata Action Figure Machine Set action-figure,BRING ARTS 4/2018 Square Enix NieRAutomata Action Figure Machine Set action-figure
538,BRING ARTS - NIER:AUTOMATA: 2B & MACHINE (2 FIGURE SET) ACTION FIGURE,"3,300,000",2020,5,BRING ARTS 2B Action Figure Machine NieR:Automata action-figure,BRING ARTS 2B Action Figure Machine NieRAutomata action-figure
539,FIGFIX - LOVE LIVE! SCHOOL IDOL FESTIVAL: NICO YAZAWA CHEERLEADER VER.,"1,560,000",2020,5,Nico Yazawa 5/2018 Cheerleader ver. Max Factory Love Live! School Idol Festival Figfix action-figure,Nico Yazawa 5/2018 Cheerleader ver. Max Factory Love Live! School Idol Festival Figfix action-figure
540,FIGFIX - LOVE LIVE! SCHOOL IDOL FESTIVAL: HANAYO KOIZUMI CHEERLEADER VER.,"1,560,000",2020,5,Hanayo Koizumi Cheerleader ver. Figfix Max Factory Love Live! School Idol Festival 5/2018 action-figure,Hanayo Koizumi Cheerleader ver. Figfix Max Factory Love Live! School Idol Festival 5/2018 action-figure
541,PLAY ARTS KAI - DISSIDIA FINAL FANTASY: LIGHTNING,"3,250,000",2020,5,Lightning Play Arts Kai DISSIDIA FINAL FANTASY Square Enix action-figure,Lightning Play Arts Kai DISSIDIA FINAL FANTASY Square Enix action-figure
542,CU-POCHE - FRAME ARMS GIRL FA GIRL: ARCHITECT,"1,720,000",2020,5,Cu-poche Frame Arms Girl 4/2018 Architect Kotobukiya action-figure,Cu-poche Frame Arms Girl 4/2018 Architect Kotobukiya action-figure
543,FIGMA - POKEMON: MIZUKI,"1,780,000",2020,5,Pokemon Good Smile Company figma 4/2018 Mizuki action-figure,Pokemon Good Smile Company figma 4/2018 Mizuki action-figure
544,PARFOM - ODIN SPHERE: LEIFDRASIR: MERCEDES,"1,850,000",2020,5,Phat Odin Sphere: Leifdrasir 6/2018 Action Figure Mercedes action-figure,Phat Odin Sphere Leifdrasir 6/2018 Action Figure Mercedes action-figure
545,S.H. FIGUARTS BODY-KUN -RIHITO TAKARAI- EDITION DX SET,"5,500,000",2020,5,09/2017 body-kun Bandai figma S.H. Figuarts action-figure,09/2017 body-kun Bandai figma S.H. Figuarts action-figure
546,FIGMA - FATE/EXTELLA: NERO CLAUDIUS,"2,800,000",2020,5,max factory saber extra 05/2018 Fate/Extella action-figure,max factory saber extra 05/2018 Fate/Extella action-figure
547,FIGMA - OVERWATCH: GENJI,"4,100,000",2020,5,5/2018 Overwatch Genji figma Good Smile Company action-figure,5/2018 Overwatch Genji figma Good Smile Company action-figure
548,FIGMA - CARDCAPTOR SAKURA: SYAORAN LI,"1,720,000",2020,5,MAX Factory 04/2018 Li Syaoran Card Captor Sakura action-figure,MAX Factory 04/2018 Li Syaoran Card Captor Sakura action-figure
549,FIGMA - LOVE LIVE! SUNSHINE!!: YOSHIKO TSUSHIMA,"1,720,000",2020,5,figma MAX Factory love live! sunshine!! yoshiko tsushima 03/2018 action-figure,figma MAX Factory love live! sunshine!! yoshiko tsushima 03/2018 action-figure
550,FIGMA HUNTER - BLOODBORNE,"2,600,000",2020,5,Max Factory figma Hunter Bloodborne 5/2018 action-figure,Max Factory figma Hunter Bloodborne 5/2018 action-figure
551,FIGMA FUKUZO MOGURO - THE LAUGHING SALESMAN NEW,"1,720,000",2020,5,The Laughing Salesman NEW Fukuzo Moguro figma FREEing 5/2018 action-figure,The Laughing Salesman NEW Fukuzo Moguro figma FREEing 5/2018 action-figure
552,FIGMA RULER/ JEANNE D'ARC - FATE/ GRAND ORDER,"2,480,000",2020,5,Ruler/Jeanne d'Arc Fate/Grand Order Max Factory figma 3/2018 action-figure,Ruler/Jeanne d'Arc Fate/Grand Order Max Factory figma 3/2018 action-figure
553,S.H. FIGUARTS - BODY-CHAN - KENTARO YABUKI- EDITION DX SET (GRAY COLOR VER.),"5,300,000",2020,5,body- chan S.H. Figuarts 09/2017 Bandai action-figure,body- chan S.H. Figuarts 09/2017 Bandai action-figure
554,FIGMA - RACING MIKU 2016: TEAMUKYO SUPPORT VER.,"2,250,000",2020,5,Hatsune Miku Racing Miku 2016 2/2018 Max Factory VOCALOID figma action-figure,Hatsune Miku Racing Miku 2016 2/2018 Max Factory VOCALOID figma action-figure
555,"FIGURE COMPLEX MOVIE REVO SERIES NO.008 ""ZOOTOPIA"" JUDY HOPPS","1,600,000",2020,5,Zootopia 12/2017 kaiyodo Judy Hopps action-figure,Zootopia 12/2017 kaiyodo Judy Hopps action-figure
