id,title,price,release_date,quantity,description,key_search,idPublisher
1289,IDOL CTHULHU-CHAN 1/7 COMPLETE FIGURE,5150000,6/2021,5," Giá cập nhật tháng 8/2020 : 5.150.000đ, Idol Cthulhu-chan 1/7 Complete Figure, Nhân vật : Cthulhu-chan , Tỷ lệ : 1/7, Hãng sản xuất : Fengrong, Kích thước : 30cm , Phát hành : 6/2021 , Cthulhu-chan Idol Fengrong 1/7 ","  8/2020  5.150.000d, Idol Cthulhu-chan 1/7 Complete Figure,   Cthulhu-chan ,   1/7,   Fengrong,   30cm ,   6/2021 , Cthulhu-chan Idol Fengrong 1/7 ",117
1290,"""TOARU KAGAKU NO RAILGUN (A CERTAIN SCIENTIFIC RAILGUN) T"" MIKOTO MISAKA 1/7 COMPLETE FIGURE",3550000,1/2021,5," Giá cập nhật tháng 8/2020 : 3.550.000đ, ""Toaru Kagaku no Railgun (A Certain Scientific Railgun) T"" Mikoto Misaka 1/7 Complete Figure, Nhân vật : Mikoto Misaka, Series :  Toaru Kagaku no Railgun T (A Certain Scientific Railgun T), Tỷ lệ : 1/7, Hãng sản xuất : Emontoys, Kích thước : 30cm , Phát hành : cuối tháng 1/2021, 1/7 Mikoto Misaka Emontoys Toaru Kagaku no Railgun T A Certain Scientific Railgun T ","  8/2020  3.550.000d, ""Toaru Kagaku no Railgun (A Certain Scientific Railgun) T"" Mikoto Misaka 1/7 Complete Figure,   Mikoto Misaka,    Toaru Kagaku no Railgun T (A Certain Scientific Railgun T),   1/7,   Emontoys,   30cm ,   cuoi thang 1/2021, 1/7 Mikoto Misaka Emontoys Toaru Kagaku no Railgun T A Certain Scientific Railgun T ",44
1291,13 SENTINELS: AEGIS RIM IORI FUYUSAKA 1/4 COMPLETE FIGURE,8550000,7/2021,5," Giá cập nhật tháng 8/2020 : 8.550.000đ, 13 Sentinels: Aegis Rim Iori Fuyusaka 1/4 Complete Figure, Nhân vật : Iori Fuyusaka, Series :  13 Sentinels: Aegis Rim, Tỷ lệ : 1/4, Hãng sản xuất : FREEing, Kích thước : 39cm , Phát hành : 7/2021, Iori Fuyusaka 1/4 13 Sentinels: Aegis Rim FREEing ","  8/2020  8.550.000d, 13 Sentinels Aegis Rim Iori Fuyusaka 1/4 Complete Figure,   Iori Fuyusaka,    13 Sentinels Aegis Rim,   1/4,   FREEing,   39cm ,   7/2021, Iori Fuyusaka 1/4 13 Sentinels Aegis Rim FREEing ",34
1292,FULLMETAL DAEMON MURAMASA MURAMASA NISEI 1/7 COMPLETE FIGURE,4750000,12/2020,5," Giá cập nhật tháng 8/2020 : 4.750.000đ, Fullmetal Daemon Muramasa Muramasa Nisei 1/7 Complete Figure, Nhân vật : Muramasa Nisei , Series :  Fullmetal Daemon Muramasa, Tỷ lệ : 1/7, Hãng sản xuất : WING, Kích thước : 24cm , Phát hành : 12/2020 , WING Fullmetal Daemon Muramasa 1/7 Muramasa Nisei ","  8/2020  4.750.000d, Fullmetal Daemon Muramasa Muramasa Nisei 1/7 Complete Figure,   Muramasa Nisei ,    Fullmetal Daemon Muramasa,   1/7,   WING,   24cm ,   12/2020 , WING Fullmetal Daemon Muramasa 1/7 Muramasa Nisei ",67
1293,FATE/EXTRA NERO CLAUDIUS & TAMAMO NO MAE TYPE-MOON RACING VER. 1/7 COMPLETE FIGURES,11400000,9/2021,5," Giá cập nhật tháng 8/2020 : 11.400.000đ, Fate/Extra Nero Claudius & Tamamo no Mae TYPE-MOON Racing ver. 1/7 Complete Figures, Nhân vật : Nero Claudius(Saber/Caster)Tamamo no Mae(Caster/Lancer), Series :  Fate, Tỷ lệ : 1/7, Hãng sản xuất : plusone, Kích thước : 17cm , Phát hành : 9/2021 , Fate Nero Claudius plusone Saber/Caster Caster/Lancer Tamamo no Mae ","  8/2020  11.400.000d, Fate/Extra Nero Claudius & Tamamo no Mae TYPE-MOON Racing ver. 1/7 Complete Figures,   Nero Claudius(Saber/Caster)Tamamo no Mae(Caster/Lancer),    Fate,   1/7,   plusone,   17cm ,   9/2021 , Fate Nero Claudius plusone Saber/Caster Caster/Lancer Tamamo no Mae ",90
1294,KONECOLLE MY HERO ACADEMIA IZUKU MIDORIYA UNIFORM VER. 1/8 COMPLETE FIGURE,3100000,11/2020,5," Giá cập nhật tháng 8/2020 : 3.100.000đ, KoneColle My Hero Academia Izuku Midoriya Uniform Ver. 1/8 Complete Figure, Nhân vật : Izuku Midoriya(Deku), Series :  My Hero Academia (Boku no Hero Academia), Tỷ lệ : 1/8 , Hãng sản xuất : Takara Tomy, Kích thước : 23.5cm , Phát hành : 11/2020 , 1/8 My Hero Academia Deku Uniform Ver Izuku Midoriya KoneColle Boku no Hero Academia ","  8/2020  3.100.000d, KoneColle My Hero Academia Izuku Midoriya Uniform Ver. 1/8 Complete Figure,   Izuku Midoriya(Deku),    My Hero Academia (Boku no Hero Academia),   1/8 ,   Takara Tomy,   23.5cm ,   11/2020 , 1/8 My Hero Academia Deku Uniform Ver Izuku Midoriya KoneColle Boku no Hero Academia ",19
1295,SENKAN SHOUJO R VITTORIO VENETO JET BLACK OATH DELUXE VERSION 1/7 COMPLETE FIGURE,7280000,3/2021,5," Giá cập nhật tháng 8/2020 : 7.280.000đ, Senkan Shoujo R Vittorio Veneto Jet Black Oath Deluxe Version 1/7 Complete Figure, Nhân vật : Vittorio Veneto, Series :  Senkan Shoujo R, Tỷ lệ : 1/7, Hãng sản xuất : Kadokawa, Kích thước : 15.8cm , Phát hành : 3/2021 , 1/7 Jet Black Oath Deluxe Senkan Shoujo R Vittorio Veneto Deluxe Version Kadokawa ","  8/2020  7.280.000d, Senkan Shoujo R Vittorio Veneto Jet Black Oath Deluxe Version 1/7 Complete Figure,   Vittorio Veneto,    Senkan Shoujo R,   1/7,   Kadokawa,   15.8cm ,   3/2021 , 1/7 Jet Black Oath Deluxe Senkan Shoujo R Vittorio Veneto Deluxe Version Kadokawa ",24
1296,SENKAN SHOUJO R VITTORIO VENETO JET BLACK OATH NORMAL VERSION 1/7 COMPLETE FIGURE,5100000,3/2021,5," Giá cập nhật tháng 8/2020 : 5.250.000đ, Senkan Shoujo R Vittorio Veneto Jet Black Oath Normal Version 1/7 Complete Figure, Nhân vật : Vittorio Veneto, Series :  Senkan Shoujo R, Tỷ lệ : 1/7, Hãng sản xuất : Kadokawa, Kích thước : 15.8cm , Phát hành : 3/2021 , Senkan Shoujo R Kadokawa Jet Black Oath Normal 1/7 Vittorio Veneto ","  8/2020  5.250.000d, Senkan Shoujo R Vittorio Veneto Jet Black Oath Normal Version 1/7 Complete Figure,   Vittorio Veneto,    Senkan Shoujo R,   1/7,   Kadokawa,   15.8cm ,   3/2021 , Senkan Shoujo R Kadokawa Jet Black Oath Normal 1/7 Vittorio Veneto ",24
1297,INRAN DO-S FUKEI - AKIKO DESIGNED BY ODA NON 1/6 COMPLETE FIGURE,11280000,1/2018,5," Giá cập nhật tháng 4/2021 : 11.280.000đ, Giá cập nhật tháng 8/2020 : 7.900.000đ, Inran Do-S Fukei - Akiko Designed by Oda Non 1/6 Complete Figure, Nhân vật : Akiko, Series :  Original Character: Oda Non, Tỷ lệ : 1/6, Hãng sản xuất : A+, Kích thước : 28cm , Phát hành : Cuối tháng 1/2018 , A+ Original Character 1/6 Akiko Oda Non Inran Do-S Fukei ","  4/2021  11.280.000d,  8/2020  7.900.000d, Inran Do-S Fukei - Akiko Designed by Oda Non 1/6 Complete Figure,   Akiko,    Original Character Oda Non,   1/6,   A+,   28cm ,   Cuoi thang 1/2018 , A+ Original Character 1/6 Akiko Oda Non Inran Do-S Fukei ",70
1298,"SWORD ART ONLINE: ALICIZATION - WAR OF UNDERWORLD - ASUNA - 1/7 - THE GODDESS OF CREATION STACIA (ANIPLEX, EMONTOYS)",6480000,5/2021,5," Giá cập nhật tháng 8/2020 : 6.480.000đ, Sword Art Online: Alicization - War of Underworld - Asuna - 1/7 - The Goddess of Creation Stacia (Aniplex, Emontoys), Nhân vật : Asuna, Series :  Sword Art Online Alicization , Tỷ lệ : 1/7, Hãng sản xuất : Aniplex, Kích thước : 23.5cm , Phát hành : 5/2021 , Aniplex Sword Art Online Alicization The Goddess of Creation Stacia War of Underworld 1/7 Emontoys Sword Art Online Asuna ","  8/2020  6.480.000d, Sword Art Online Alicization - War of Underworld - Asuna - 1/7 - The Goddess of Creation Stacia (Aniplex, Emontoys),   Asuna,    Sword Art Online Alicization ,   1/7,   Aniplex,   23.5cm ,   5/2021 , Aniplex Sword Art Online Alicization The Goddess of Creation Stacia War of Underworld 1/7 Emontoys Sword Art Online Asuna ",23
