id,title,price,release_date,quantity,description,key_search
3214,NENDOROID DOLL: CUSTOMIZABLE HEAD (CINNAMON),1100000,7/2019,5," Giá cập nhật tháng 5/2021: 1.100.000đ, Giá cập nhật tháng 1/2019: 980.000đ, Nendoroid Doll: Customizable Head (cinnamon), Series :  Nendoroid Doll, Hãng sản xuất : Good Smile Company, Kích thước : 12.5cm , Phát hành: 7/2019, cinnamon Nendoroid Doll Good Smile Company Customizable Head ","  5/2021 1.100.000d,  1/2019 980.000d, Nendoroid Doll Customizable Head (cinnamon),    Nendoroid Doll,   Good Smile Company,   12.5cm ,  7/2019, cinnamon Nendoroid Doll Good Smile Company Customizable Head "
3215,NENDOROID DOLL: CUSTOMIZABLE HEAD (CREAM),1350000,7/2019,5," Giá cập nhật tháng 7/2020 : 1.350.000đ, Nendoroid Doll: Customizable Head (cream), Series : Nendoroid Doll, Hãng sản xuất : Good Smile Company, Kích thước : 12.5cm , Phát hành : 7/2019, Good Smile Company Customizable Head Nendoroid Doll cream ","  7/2020  1.350.000d, Nendoroid Doll Customizable Head (cream),   Nendoroid Doll,   Good Smile Company,   12.5cm ,   7/2019, Good Smile Company Customizable Head Nendoroid Doll cream "
3216,"NENDOROID TV ANIME ""JOJO'S BIZARRE ADVENTURE GOLDEN WIND"" PROSCIUTTO",1600000,12/2020,5," Giá cập nhật tháng 7/2020 : 1.600.000đ, Nendoroid TV Anime ""JoJo's Bizarre Adventure Golden Wind"" Prosciutto, Nhân vật : Prosciutto, Series :  TV Anime ""JoJo's Bizarre Adventure Golden Wind"", Hãng sản xuất : Medicos Entertainment, Kích thước : 10cm , Phát hành : 12/2020 , Medicos Entertainment JOJO Nendoroid TV Anime ""JoJo's Bizarre Adventure Golden Wind"" Prosciutto ","  7/2020  1.600.000d, Nendoroid TV Anime ""JoJo's Bizarre Adventure Golden Wind"" Prosciutto,   Prosciutto,    TV Anime ""JoJo's Bizarre Adventure Golden Wind"",   Medicos Entertainment,   10cm ,   12/2020 , Medicos Entertainment JOJO Nendoroid TV Anime ""JoJo's Bizarre Adventure Golden Wind"" Prosciutto "
3217,NENDOROID MY NEXT LIFE AS A VILLAINESS: ALL ROUTES LEAD TO DOOM! CATARINA CLAES,1520000,1/2021,5," Giá cập nhật tháng 7/2020 : 1.520.000, Nendoroid My Next Life as a Villainess: All Routes Lead to Doom! Catarina Claes, Nhân vật : Catarina Claes, Series :  My Next Life as a Villainess: All Routes Lead to Doom! (Otome Game no Hametsu Flag shika nai Akuyaku Reijou ni Tenseishiteshimatta...) , Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 1/2021 , Good Smile Company My Next Life as a Villainess: All Routes Lead to Doom! Otome Game no Hametsu Flag shika nai Akuyaku Reijou ni Tenseishiteshimatta... Nendoroid Catarina Claes ","  7/2020  1.520.000, Nendoroid My Next Life as a Villainess All Routes Lead to Doom! Catarina Claes,   Catarina Claes,    My Next Life as a Villainess All Routes Lead to Doom! (Otome Game no Hametsu Flag shika nai Akuyaku Reijou ni Tenseishiteshimatta...) ,   Good Smile Company,   10cm ,   1/2021 , Good Smile Company My Next Life as a Villainess All Routes Lead to Doom! Otome Game no Hametsu Flag shika nai Akuyaku Reijou ni Tenseishiteshimatta... Nendoroid Catarina Claes "
3218,NENDOROID AVENGERS: ENDGAME BLACK WIDOW ENDGAME VER.,1500000,12/2020,5," Giá cập nhật tháng 7/2020 : 1.500.000đ, Nendoroid Avengers: Endgame Black Widow Endgame Ver., Nhân vật : Black Widow(Natalia Romanova/Natasha Romanoff), Series :  Avengers , Avengers: Endgame , Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 12/2020 , Avengers: Endgame Black Widow Natalia Romanova Natasha Romanoff Nendoroid Endgame Ver Good Smile Company ","  7/2020  1.500.000d, Nendoroid Avengers Endgame Black Widow Endgame Ver.,   Black Widow(Natalia Romanova/Natasha Romanoff),    Avengers , Avengers Endgame ,   Good Smile Company,   10cm ,   12/2020 , Avengers Endgame Black Widow Natalia Romanova Natasha Romanoff Nendoroid Endgame Ver Good Smile Company "
3219,NENDOROID AVENGERS: ENDGAME BLACK WIDOW ENDGAME VER. DX,2380000,12/2020,5," Giá cập nhật tháng 7/2020 : 2.380.000đ, Nendoroid Avengers: Endgame Black Widow Endgame Ver. DX, Nhân vật : Black Widow(Natalia Romanova/Natasha Romanoff), Series :  Avengers , Avengers: Endgame , Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 12/2020 , DX Black Widow Avengers: Endgame Good Smile Company Endgame Ver Natalia Romanova Nendoroid Natasha Romanoff ","  7/2020  2.380.000d, Nendoroid Avengers Endgame Black Widow Endgame Ver. DX,   Black Widow(Natalia Romanova/Natasha Romanoff),    Avengers , Avengers Endgame ,   Good Smile Company,   10cm ,   12/2020 , DX Black Widow Avengers Endgame Good Smile Company Endgame Ver Natalia Romanova Nendoroid Natasha Romanoff "
3220,NENDOROID FORTNITE BEEF BOSS,1550000,11/2020,5," Giá cập nhật tháng 7/2020 : 1.550.000đ, Nendoroid Fortnite Beef Boss, Nhân vật : Beef Boss, Series :  Fortnite, Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 11/2020 , Beef Boss Fortnite Nendoroid Good Smile Company ","  7/2020  1.550.000d, Nendoroid Fortnite Beef Boss,   Beef Boss,    Fortnite,   Good Smile Company,   10cm ,   11/2020 , Beef Boss Fortnite Nendoroid Good Smile Company "
3221,NENDOROID JOURNAL OF THE MYSTERIOUS CREATURES VIVIAN,1500000,12/2020,5," Giá cập nhật tháng 6/2020 : 1.500.000đ, Nendoroid Journal of the Mysterious Creatures Vivian, Nhân vật : Vivian, Series :  Journal of the Mysterious Creatures (Ijou Seibutsu Kenbunroku), Hãng sản xuất : Good Smile Arts Shanghai, Kích thước : 10cm , Phát hành : 12/2020 , Ijou Seibutsu Kenbunroku Vivian Nendoroid Journal of the Mysterious Creatures Good Smile Arts Shanghai ","  6/2020  1.500.000d, Nendoroid Journal of the Mysterious Creatures Vivian,   Vivian,    Journal of the Mysterious Creatures (Ijou Seibutsu Kenbunroku),   Good Smile Arts Shanghai,   10cm ,   12/2020 , Ijou Seibutsu Kenbunroku Vivian Nendoroid Journal of the Mysterious Creatures Good Smile Arts Shanghai "
3222,NENDOROID ARKNIGHTS W,2680000,1/2021,5," Giá cập nhật tháng 3/2021: 2.680.000đ, Giá cập nhật tháng 12/2020: 1.680.000đ, Giá cập nhật tháng 6/2020: 1.580.000đ, Nendoroid Arknights W, Nhân vật : W, Series : Arknights, Hãng sản xuất : Good Smile Arts Shanghai, Kích thước : 10cm , Phát hành: 1/2021, Nendoroid Good Smile Arts Shanghai Arknights W ","  3/2021 2.680.000d,  12/2020 1.680.000d,  6/2020 1.580.000d, Nendoroid Arknights W,   W,   Arknights,   Good Smile Arts Shanghai,   10cm ,  1/2021, Nendoroid Good Smile Arts Shanghai Arknights W "
3223,NENDOROID DETECTIVE CONAN RAN MOURI,1580000,2/2021,5," Giá cập nhật tháng 6/2020 : 1.580.000đ, Nendoroid Detective Conan Ran Mouri, Nhân vật :Ran Mouri, Series :  Detective Conan, Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 2/2021 , Good Smile Company Detective Conan Conan Nendoroid Ran Mouri ","  6/2020  1.580.000d, Nendoroid Detective Conan Ran Mouri,  Ran Mouri,    Detective Conan,   Good Smile Company,   10cm ,   2/2021 , Good Smile Company Detective Conan Conan Nendoroid Ran Mouri "
3224,NENDOROID DETECTIVE CONAN SHINICHI KUDO,1580000,2/2021,5," Giá cập nhật tháng 6/2020 : 1.580.000đ, Nendoroid Detective Conan Shinichi Kudo, Nhân vật : Shinichi Kudo , Conan, Series :  Detective Conan, Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 2/2021 , Good Smile Company Conan Nendoroid Shinichi Kudo Detective Conan ","  6/2020  1.580.000d, Nendoroid Detective Conan Shinichi Kudo,   Shinichi Kudo , Conan,    Detective Conan,   Good Smile Company,   10cm ,   2/2021 , Good Smile Company Conan Nendoroid Shinichi Kudo Detective Conan "
3225,NENDOROID IDOLISH7 YAMATO NIKAIDO,1420000,12/2020,5," Giá cập nhật tháng 6/2020 : 1.420.000đ, Nendoroid Idolish7 Yamato Nikaido, Nhân vật : Yamato Nikaido, Series :  Idolish7, Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 12/2020 , Idolish7 Good Smile Company Yamato Nikaido Nendoroid ","  6/2020  1.420.000d, Nendoroid Idolish7 Yamato Nikaido,   Yamato Nikaido,    Idolish7,   Good Smile Company,   10cm ,   12/2020 , Idolish7 Good Smile Company Yamato Nikaido Nendoroid "
3226,NENDOROID THE LAST OF US PART II ELLIE,1620000,11/2020,5," Giá cập nhật tháng 6/2020 : 1.620.000đ, Nendoroid The Last of Us Part II Ellie, Nhân vật : Ellie Williams, Series : The Last of Us, Hãng sản xuất : Good Smile Company, Kích thước : 10cm , Phát hành : 11/2020 , Ellie Williams The Last of Us The Last of Us Part II Good Smile Company Nendoroid ","  6/2020  1.620.000d, Nendoroid The Last of Us Part II Ellie,   Ellie Williams,   The Last of Us,   Good Smile Company,   10cm ,   11/2020 , Ellie Williams The Last of Us The Last of Us Part II Good Smile Company Nendoroid "
