id,title,price,release_date,quantity,description,key_search
588,VARIABLE ACTION HEROES - ONE PIECE: RORONOA ZORO PAST BLUE ACTION FIGURE(PRE-ORDER),3350000,2020,5,Zoro MegaHouse Roronoa Zoro 08/2017 One Piece action-figure,Zoro MegaHouse Roronoa Zoro 08/2017 One Piece action-figure
589,FIGMA MAHO NISHIZUMI & ERIKA ITSUMI,2380000,2020,5,5/2017 Figma Maho Nishizumi & Erika Itsumi Max Factory Girls und Panzer the Movie action-figure,5/2017 Figma Maho Nishizumi & Erika Itsumi Max Factory Girls und Panzer the Movie action-figure
590,FIGMA YOTSUGI ONONOGI,1680000,2020,5,6/2017 Tsukimonogatari Yotsugi Ononogi Max Factory Figma action-figure,6/2017 Tsukimonogatari Yotsugi Ononogi Max Factory Figma action-figure
591,FIGMA GORO MAJIMA,7800000,2020,5,Ryu ga Gotoku Goro Majima Figma 5/2017 Max Factory action-figure,Ryu ga Gotoku Goro Majima Figma 5/2017 Max Factory action-figure
592,FIGMA CHIKA TAKAMI,1520000,2020,5,Max Factory Chika Takami Love Live! Sunshine!! Figma 4/2017 action-figure,Max Factory Chika Takami Love Live! Sunshine!! Figma 4/2017 action-figure
593,FIGMA PHOENIX WRIGHT,11800000,2020,5,Figma Phat Company Phoenix Wright Ace Attorney 5/2017 action-figure,Figma Phat Company Phoenix Wright Ace Attorney 5/2017 action-figure
594,FIGMA IZUKU MIDORIYA,2180000,2020,5,Max Factory Izuku Midoriya 5/2017 Figma Boku no Hero Academia action-figure,Max Factory Izuku Midoriya 5/2017 Figma Boku no Hero Academia action-figure
595,"SUPER SAIYAN 3: SON GOKU ""DRAGON BALL Z""",7200000,2020,5,Bandai 9/2017 Dragon Ball Son Goku action-figure,Bandai 9/2017 Dragon Ball Son Goku action-figure
596,FIGMA MAKOTO YUKI,2600000,2020,5,Persona 3 the Movie Max Factory Figma Makoto Yuki 4/2017 action-figure,Persona 3 the Movie Max Factory Figma Makoto Yuki 4/2017 action-figure
597,FIGMA SHIELDER/MASH KYRIELIGHT,3000000,2020,5,5/2017 Shielder/Mash Kyrielight Figma Max Factory Fate/Grand Order action-figure,5/2017 Shielder/Mash Kyrielight Figma Max Factory Fate/Grand Order action-figure
598,FIGMA - LOVE LIVE! SUNSHINE!!: DIA KUROSAWA,1620000,2020,5,Dia Kurosawa Lovelive! Sunshine!! Dia MAX Factory 10/2017 Kurosawa action-figure,Dia Kurosawa Lovelive! Sunshine!! Dia MAX Factory 10/2017 Kurosawa action-figure
599,FIGMA SABER/ALTRIA PENDRAGON [LILY] - FATE/GRAND ORDER,1980000,2020,5,Max Factory Fate/Grand Order Saber Altria Pendragon 10/2017 Action Figure action-figure,Max Factory Fate/Grand Order Saber Altria Pendragon 10/2017 Action Figure action-figure
600,ACTION FIGURE GEO STELAR - MEGA MAN STAR FORCE,1540000,2020,5,Geo Stelar Sentinel 8/2017 Action Figure Mega Man action-figure,Geo Stelar Sentinel 8/2017 Action Figure Mega Man action-figure
601,FIGMA CELTY STURLUSON,1450000,2020,5,4/2017 Celty Sturluson Durarara!! x2 FREEing Figma action-figure,4/2017 Celty Sturluson Durarara!! x2 FREEing Figma action-figure
602,FIGMA KASHIMA,2580000,2020,5,Figma Kashima 3/2017 Max Factory Kantai Collection action-figure,Figma Kashima 3/2017 Max Factory Kantai Collection action-figure
